,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.6517857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
MedPFNClassifier,0.7982142857142858,0.028007834180996647,0.746039792878028,0.04407649562454226,0.6384615384615385,0.058974358974358966,0.8497365648050579,0.01792584827057741,0.6870202156925034,0.04715873705175874,0.34102511405944824,0.052970801002969435
MedPFNClassifier,0.80625,0.027096412331238422,0.7207573427085622,0.04069093293036171,0.7256410256410256,0.042982191318564636,0.8843695117667719,0.028912465701868485,0.722806240284255,0.038499124659229354,2.0710553407669066,0.1544909006677781
MedPFNClassifier,0.8160714285714284,0.04860949138862928,0.7558628976721082,0.06414415709965875,0.6923076923076923,0.09525218267182928,0.8892518440463647,0.025570703883299035,0.7217667259307122,0.0801514766435432,15.75161623954773,2.890926334409406
RandomForestClassifier,0.83125,0.021297965074779587,0.8229142155171075,0.042068728020163204,0.6589743589743591,0.04298219131856464,0.904864769933263,0.025666760809976277,0.7308467347342028,0.033801603206644215,0.39276814460754395,0.006222678569825741
CatBoostGrid,0.83125,0.032793513700369585,0.8139956749918799,0.05792510663118669,0.6692307692307692,0.05552925084027617,0.9147172462240954,0.02839752657643329,0.7338718990431308,0.05175907305408634,150.69166424274445,17.801513210669004
XGBoostGrid,0.8303571428571429,0.03549036948991392,0.8081458687040181,0.05237958759154353,0.6717948717948719,0.07234223579315836,0.9088514225500527,0.027312582478972634,0.7326619426705159,0.05924182258788991,92.5576840877533,6.489630979356587
LogisticRegressionClassifier,0.7991071428571429,0.025645368957759065,0.7648400782520565,0.04937220575716269,0.6153846153846154,0.0595843591724218,0.8638215665612925,0.026181942138218,0.679953375607458,0.043385875197287274,0.00799996852874756,0.0006323345452171327
TabPFNClassifier,0.81875,0.01831989690061,0.7687509290118398,0.03913165668295491,0.6897435897435897,0.0479013889545369,0.8968739023533543,0.019972457439520967,0.7255984110012931,0.02916145919220835,2.4839160203933717,0.11658463542441319
TabForestPFNClassifier,0.83125,0.023436437050726223,0.7661491322936816,0.047247549232967194,0.7461538461538462,0.03333333333333333,0.9072708113804003,0.02322377105621997,0.7551705942375608,0.031053417165660804,17.735255551338195,0.6144225290423779
