,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.5535714285714286,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
MedPFNClassifier,0.7383928571428572,0.01831989690061,0.7071822378705984,0.02497737314401025,0.71,0.05458937625582472,0.8141935483870967,0.03248693005424852,0.7069875612442933,0.02896675729803592,0.23975374698638915,0.0304369411931921
MedPFNClassifier,0.7821428571428571,0.03707239195004767,0.7261145707154305,0.03336883592876905,0.8220000000000001,0.06954135460285485,0.8585161290322582,0.03887363128339218,0.7701164462137259,0.04392406241878159,1.4729136943817138,0.0625596615499327
MedPFNClassifier,0.8098214285714287,0.022605337323521726,0.7796473533746431,0.019831980772982493,0.8,0.04472135954999579,0.8819032258064515,0.03081698857123088,0.7892353595543928,0.02859605333905945,9.121940684318542,0.1105054728569636
RandomForestClassifier,0.8446428571428571,0.040759686466119015,0.8553820809049656,0.0470065397484342,0.786,0.072691127381545,0.9208387096774195,0.028656511119683627,0.8174892577043794,0.05375151488030347,0.3530722141265869,0.006895975888407367
CatBoostGrid,0.8526785714285715,0.03274485860873616,0.8552686399849708,0.041309977733662503,0.808,0.05810335618533578,0.9290967741935484,0.026132138405578015,0.8297700504096891,0.04152739797176104,169.152121925354,13.488864787256608
XGBoostGrid,0.8392857142857142,0.035714285714285726,0.8336667962825659,0.03923169626686575,0.8019999999999999,0.07236021006050217,0.9260967741935484,0.028747872382025735,0.8154951607801291,0.04507537210111854,117.68005483150482,10.656930351695442
LogisticRegressionClassifier,0.7857142857142858,0.0316932845523194,0.7999366571632776,0.04128702706984967,0.694,0.04737087712930803,0.8695483870967744,0.02895660393676144,0.7426400641067106,0.040418669222560495,0.008299946784973145,0.0006400474823089468
TabPFNClassifier,0.8535714285714284,0.025938998297024913,0.834906417600379,0.022968674149409205,0.8380000000000001,0.0575847201955519,0.921741935483871,0.0211240821583883,0.8354662487121578,0.03392842023819734,2.8076210498809813,0.4272450318174517
TabForestPFNClassifier,0.8598214285714286,0.033893308743039835,0.8320124419708215,0.03486780865706825,0.86,0.06066300355241241,0.928225806451613,0.024436734770494534,0.8448707109422605,0.0416349997433298,23.085236072540283,6.410671427060554
