,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.9945068359375e-05,0.00029983520507812503
XGBClassifier,0.9482142857142856,0.010412414097938048,0.4633333333333334,0.20572365498945963,0.31666666666666665,0.20344259359556172,0.8477987421383648,0.08102764352899396,0.3643939393939394,0.1954096795529156,0.01205117702484131,0.0014237620672936525
MedPFNClassifier,0.9473214285714284,0.00625000000000002,0.4,0.43588989435406733,0.11666666666666665,0.1301708279317776,0.870125786163522,0.07109005092398088,0.1657142857142857,0.17037773161000658,0.37058110237121583,0.047122364724713865
MedPFNClassifier,0.95,0.008183170883849735,0.5333333333333333,0.3929942040850532,0.19999999999999998,0.1452966314513558,0.9185534591194969,0.054665449601076284,0.276031746031746,0.19141363231080677,2.034011173248291,0.12891973920211272
MedPFNClassifier,0.9508928571428573,0.011468957659522439,0.5599999999999999,0.11527744310527054,0.4999999999999999,0.25819888974716115,0.9155660377358492,0.06068469505497734,0.4987878787878787,0.13694064231036704,15.586856961250305,1.776575166635811
RandomForestClassifier,0.9517857142857142,0.012111303541295125,0.4166666666666667,0.4425306015783918,0.18333333333333332,0.20344259359556172,0.9031446540880502,0.05611225272309403,0.24634920634920637,0.2685466610216567,0.2390094518661499,0.0184941486508931
CatBoostGrid,0.9491071428571429,0.005717075211993643,0.5,0.4472135954999579,0.13333333333333333,0.1247219128924647,0.9006289308176099,0.06129575365200089,0.19428571428571426,0.16403085822179797,49.479861688613894,5.811788253794618
XGBoostGrid,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.8709119496855348,0.05447358755969857,0.0,0.0,40.35014107227325,5.465713907273701
LogisticRegressionClassifier,0.9392857142857143,0.013716331692622536,0.39285714285714285,0.24467109673647863,0.21666666666666665,0.15,0.8251572327044026,0.09550071649880919,0.2694871794871795,0.16863479622910854,0.010051655769348144,0.001852273631240096
TabPFNClassifier,0.9464285714285715,0.01785714285714287,0.37333333333333335,0.39687669509699247,0.2,0.19436506316151,0.9058176100628931,0.05693235343951501,0.2585858585858586,0.2610363685691005,3.630272960662842,0.18308306687544212
TabForestPFNClassifier,0.9392857142857143,0.022868300847974476,0.4842857142857143,0.3106576303027275,0.3333333333333333,0.18257418583505539,0.8856918238993711,0.035868705307141834,0.3707092907092907,0.20633419838541517,28.51695237159729,0.8028485496244997
