,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9424778761061946,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
XGBClassifier,0.9491150442477876,0.007727543892288941,0.7006410256410257,0.19535617936958885,0.3384615384615385,0.13846153846153847,0.813073311664861,0.041030457018736144,0.4140210666526456,0.1424409107683606,0.018515372276306154,0.0014542030172760433
MedPFNClassifier,0.9438053097345133,0.0068691038479026766,0.6133333333333334,0.3499841266241783,0.12307692307692308,0.05102499677469847,0.8387865655471289,0.06154342067210895,0.2011111111111111,0.08514874421842819,1.2053297996520995,0.026937872342113856
MedPFNClassifier,0.954424778761062,0.00929203539823007,0.7866666666666667,0.17381343765978255,0.2923076923076923,0.19091805609216703,0.8845792704947634,0.03988647263953068,0.39231056648441226,0.20160218293921064,6.305999398231506,0.2971829750179951
MedPFNClassifier,0.9504424778761063,0.0073509945689540605,0.7164935064935064,0.18843320456092275,0.36923076923076925,0.18138194034694763,0.884037558685446,0.04092303572116489,0.4330491082779412,0.15948736257437746,26.488499402999878,0.9151369331789613
RandomForestClassifier,0.9553097345132743,0.01144470544812172,0.6633333333333333,0.37131897039846723,0.2692307692307692,0.19836610704965582,0.8737811484290358,0.05000384406929633,0.37078925030937415,0.24955561084637518,0.36281936168670653,0.022523637998592277
CatBoostGrid,0.9530973451327434,0.01069296103857925,0.5816666666666668,0.3209534407217208,0.27692307692307694,0.19821690348807885,0.8875767425063199,0.03852178320990479,0.36536416799574695,0.2408109495105377,94.15887484550476,7.884963252210214
XGBoostGrid,0.9504424778761063,0.006797474113158071,0.49749999999999994,0.4192925589609241,0.19230769230769232,0.16940550419650188,0.8706031058143735,0.05370900712192948,0.2686507936507937,0.2253590958808761,78.12547390460968,4.64587924440571
LogisticRegressionClassifier,0.9345132743362832,0.01098201207609812,0.4267443667443668,0.09872036164128582,0.34615384615384615,0.062017367294604234,0.805092091007584,0.06817826621729772,0.38033994990516734,0.07486742838754948,0.018454718589782714,0.003112452086113931
TabPFNClassifier,0.9535398230088497,0.008453527953337495,0.7147619047619048,0.08381358215282285,0.30000000000000004,0.17010264913458448,0.8848320693391116,0.04944666741371171,0.4038363171355499,0.16299061376561597,10.582104372978211,0.34178537991703095
TabForestPFNClassifier,0.9491150442477878,0.004534049011486555,0.5991486291486291,0.06206934297234763,0.35384615384615387,0.08565791327430804,0.8802455760202239,0.03777101965229596,0.4393073593073593,0.07687019703463803,62.915203022956845,3.0627864194382095
