,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9454545454545455,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.00010015964508056641,0.0003004789352416992
XGBClassifier,0.9454545454545455,0.011499191491521383,0.33333333333333337,0.32489314482696546,0.23333333333333334,0.21343747458109494,0.8955128205128204,0.07995108629573777,0.2633333333333333,0.2330712814188445,0.008758115768432616,0.001215609833369991
MedPFNClassifier,0.9418181818181818,0.0212034614358011,0.5833333333333333,0.2981423969999719,0.3666666666666667,0.09999999999999999,0.908974358974359,0.02962620514946497,0.4204761904761905,0.11486065697854053,0.1376664638519287,0.016890471444657083
MedPFNClassifier,0.9454545454545455,0.01408357580439061,0.4,0.4358898943540674,0.16666666666666666,0.16666666666666669,0.9397435897435896,0.03308586641170242,0.22999999999999998,0.23259406699226015,1.043949031829834,0.06653964921421458
MedPFNClassifier,0.9454545454545453,0.018181818181818188,0.5999999999999999,0.41633319989322654,0.2666666666666667,0.13333333333333333,0.9307692307692308,0.03508700559847182,0.35,0.18929694486000911,7.296424865722656,1.1743045901586664
RandomForestClassifier,0.9509090909090909,0.008331955809010621,0.35,0.45000000000000007,0.13333333333333333,0.1632993161855452,0.894551282051282,0.0740162581869864,0.19,0.23430749027719963,0.1524961233139038,0.009597186004242485
CatBoostGrid,0.9454545454545455,0.016262312563634838,0.5,0.4472135954999579,0.2,0.1632993161855452,0.8814102564102564,0.10213250536534633,0.27999999999999997,0.2315167380558045,44.72298316955566,9.4550774588443
XGBoostGrid,0.9509090909090909,0.008331955809010621,0.3,0.45825756949558394,0.1,0.15275252316519466,0.8516025641025641,0.12283672140250984,0.15,0.22912878474779197,29.867995858192444,3.425061980292884
LogisticRegressionClassifier,0.9472727272727273,0.012727272727272731,0.45,0.4153311931459038,0.2,0.1632993161855452,0.8865384615384615,0.04487637339278755,0.27,0.2238302928559939,0.0063995361328125,0.0016251308249600896
TabPFNClassifier,0.9472727272727273,0.018982375470746462,0.5333333333333333,0.4,0.3,0.17950549357115014,0.9153846153846154,0.039908672862239425,0.36333333333333334,0.22678918257565406,1.6664255619049073,0.19407224466320458
TabForestPFNClassifier,0.9418181818181817,0.03128118278924592,0.5866666666666667,0.4266666666666667,0.33333333333333337,0.21081851067789195,0.8833333333333332,0.05703327287060315,0.40166666666666667,0.2648322320094575,13.905151653289796,1.2440097301316346
