,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9394939493949396,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0004002809524536133,0.0004902429176034031
XGBClassifier,0.9444444444444444,0.005784737876847062,0.5625055432372505,0.0724194711946867,0.37454545454545457,0.05155435228639208,0.8645997445177771,0.01359621487274469,0.4489673046251994,0.057569054120095026,0.052999353408813475,0.004775092963447401
MedPFNClassifier,0.942904290429043,0.003494473085647675,0.7388888888888889,0.18929694486000911,0.09272727272727274,0.07109532653097146,0.8497870981477538,0.017768353519500336,0.15477322358908077,0.10778517013222622,20.4979127407074,2.234800697290635
MedPFNClassifier,0.950935093509351,0.0034509102621249972,0.8374089799089799,0.09559091665655692,0.2381818181818182,0.034926132204179165,0.8940642963593785,0.019836500535917696,0.36934808465622615,0.04725877713567863,83.61554162502289,12.373907379731813
MedPFNClassifier,0.9506050605060505,0.006114276449544655,0.6941699135474322,0.1093273739751999,0.3527272727272727,0.06041180991213146,0.8918224398552267,0.022175142851042037,0.4621705353181002,0.061306080219595355,92.29140241146088,4.78528860314602
RandomForestClassifier,0.9547854785478547,0.004273470758978019,0.7952305960595618,0.07492537583296133,0.34363636363636363,0.05832369066307432,0.9082212050244838,0.020660599538282184,0.47700491675127277,0.06049084863455134,2.384528470039368,0.04925869039052353
CatBoostGrid,0.9565456545654565,0.004999149732674045,0.7892386430773528,0.08774926487812285,0.38909090909090904,0.04317942577104696,0.8998509687034277,0.02655207906386509,0.5198936332240168,0.05248891597312042,160.15911378860474,10.799793335805223
XGBoostGrid,0.9554455445544553,0.0035901361654742895,0.7880337104175184,0.06093790759374599,0.36181818181818187,0.04412604036186035,0.9161464764743453,0.01794829590137874,0.4946416204792973,0.04797685443222274,185.74318540096283,14.649118277012585
LogisticRegressionClassifier,0.9446644664466447,0.0036503102360917823,0.5774637507522902,0.0569440801847738,0.3327272727272727,0.039038019188334355,0.8416095380029807,0.02565265885303546,0.42052676754791696,0.03779069142637283,0.05310001373291016,0.01086686703897409
TabPFNClassifier,0.9512651265126513,0.004771231780462359,0.817194428378639,0.11550484850596461,0.2527272727272727,0.050419725904952896,0.9056504151586118,0.020064447533085134,0.3842686887593761,0.06707278219097917,96.49404656887054,3.1992577228522125
TabForestPFNClassifier,0.9535753575357535,0.00610139697419672,0.7247438656322504,0.10201882667806166,0.38,0.060000000000000005,0.8954029167553758,0.023593170032842017,0.49679272138941244,0.06816865865948822,406.8901899814606,16.180825376941392
