,Unnamed: 0,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
0,MedPFNClassifier,0.956,0.008,0.663,0.143,0.4,0.153,0.917,0.061,0.485,0.111,7.78,0.467
1,MedPFNClassifier,0.875,0.024,0.267,0.058,0.733,0.133,0.89,0.055,0.389,0.074,8.428,0.954
2,MedPFNClassifier,0.93,0.012,0.404,0.089,0.617,0.198,0.908,0.048,0.475,0.108,7.84,0.623
