,Unnamed: 0,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
0,MedPFNClassifier,0.955,0.011,0.724,0.316,0.245,0.139,0.858,0.079,0.352,0.177,0.684,0.122
1,MedPFNClassifier,0.899,0.026,0.285,0.099,0.548,0.197,0.849,0.085,0.369,0.122,0.673,0.114
2,MedPFNClassifier,0.92,0.02,0.361,0.11,0.563,0.196,0.861,0.08,0.43,0.124,0.665,0.112
