,Unnamed: 0,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
0,MedPFNClassifier,0.958,0.011,0.748,0.297,0.293,0.164,0.862,0.08,0.402,0.194,0.766,0.136
1,MedPFNClassifier,0.897,0.028,0.296,0.098,0.622,0.198,0.86,0.084,0.396,0.124,0.7,0.044
2,MedPFNClassifier,0.956,0.009,0.718,0.327,0.23,0.141,0.839,0.084,0.334,0.181,0.767,0.113
