iter	Passed	Remaining
424	2076	2809
425	2080	2803
426	2085	2798
427	2089	2791
428	2094	2787
429	2098	2781
430	2103	2777
431	2107	2770
432	2112	2766
433	2115	2759
434	2121	2754
435	2124	2748
436	2129	2743
437	2134	2739
438	2141	2737
439	2145	2731
440	2151	2726
441	2155	2721
442	2161	2717
443	2165	2712
444	2172	2709
445	2177	2704
446	2183	2701
447	2187	2695
448	2193	2691
449	2198	2686
450	2204	2683
451	2209	2678
452	2215	2674
453	2219	2668
454	2225	2665
455	2229	2659
456	2234	2654
457	2238	2648
458	2243	2644
459	2247	2638
460	2252	2634
461	2256	2627
462	2261	2622
463	2265	2617
464	2271	2613
465	2275	2607
466	2280	2602
467	2284	2596
468	2289	2592
469	2292	2585
470	2297	2580
471	2301	2574
472	2307	2570
473	2310	2564
474	2316	2560
475	2320	2554
476	2325	2550
477	2329	2544
478	2335	2540
479	2338	2533
480	2344	2529
481	2348	2524
482	2353	2519
483	2357	2513
484	2362	2508
485	2366	2503
486	2372	2499
487	2376	2492
488	2381	2488
489	2385	2482
490	2390	2478
491	2410	2489
492	2415	2484
493	2419	2478
494	2424	2473
495	2428	2468
496	2434	2463
497	2438	2458
498	2443	2453
499	2447	2447
500	2453	2443
501	2457	2438
502	2463	2434
503	2468	2429
504	2474	2425
505	2477	2418
506	2482	2414
507	2487	2409
508	2492	2404
509	2496	2398
510	2501	2394
511	2505	2388
512	2511	2384
513	2516	2378
514	2521	2374
515	2525	2368
516	2531	2364
517	2534	2358
518	2540	2354
519	2543	2348
520	2549	2343
521	2553	2338
522	2559	2334
523	2563	2328
524	2568	2324
525	2572	2318
526	2577	2313
527	2581	2307
528	2586	2302
529	2590	2297
530	2595	2292
531	2599	2287
532	2605	2282
533	2609	2276
534	2615	2272
535	2618	2267
536	2623	2262
537	2628	2256
538	2633	2252
539	2636	2246
540	2642	2241
541	2646	2236
542	2651	2231
543	2656	2226
544	2662	2222
545	2666	2217
546	2672	2213
547	2676	2207
548	2682	2203
549	2686	2198
550	2691	2193
551	2695	2187
552	2700	2183
553	2705	2177
554	2711	2173
555	2715	2168
556	2721	2164
557	2725	2158
558	2730	2153
559	2734	2148
560	2739	2143
561	2743	2137
562	2748	2133
563	2752	2127
564	2757	2122
565	2760	2117
566	2766	2112
567	2770	2107
568	2775	2102
569	2779	2096
570	2784	2092
571	2788	2086
572	2794	2082
573	2799	2077
574	2804	2073
575	2808	2067
576	2813	2062
577	2817	2057
578	2823	2052
579	2826	2047
580	2832	2042
581	2836	2037
582	2841	2032
583	2846	2027
584	2851	2022
585	2854	2017
586	2860	2012
587	2864	2006
588	2869	2002
589	2873	1996
590	2879	1992
591	2883	1987
592	2889	1983
593	2893	1977
594	2899	1973
595	2903	1968
596	2909	1963
597	2913	1958
598	2918	1953
599	2922	1948
600	2928	1944
601	2932	1938
602	2938	1934
603	2941	1928
604	2946	1923
605	2950	1918
606	2955	1913
607	2959	1908
608	2964	1903
609	2968	1898
610	2973	1893
611	2977	1887
612	2985	1884
613	2990	1879
614	2995	1875
615	2999	1869
616	3004	1865
617	3009	1859
618	3014	1855
619	3018	1849
620	3023	1845
621	3029	1840
622	3034	1836
623	3038	1831
624	3044	1826
625	3047	1820
626	3053	1816
627	3057	1810
628	3062	1806
629	3065	1800
630	3070	1795
631	3074	1790
632	3079	1785
633	3083	1780
634	3104	1784
635	3107	1778
636	3112	1773
637	3116	1768
638	3121	1763
639	3125	1758
640	3131	1753
641	3135	1748
642	3140	1743
643	3144	1738
644	3149	1733
645	3152	1727
646	3158	1723
647	3162	1718
648	3169	1714
649	3176	1710
650	3183	1706
651	3188	1701
652	3193	1697
653	3198	1691
654	3203	1687
655	3207	1682
656	3212	1677
657	3216	1671
658	3221	1666
659	3225	1661
660	3230	1656
661	3234	1651
662	3239	1646
663	3243	1641
664	3248	1636
665	3252	1631
666	3258	1626
667	3262	1621
668	3267	1616
669	3271	1611
670	3276	1606
671	3280	1601
672	3285	1596
673	3290	1591
674	3295	1586
675	3299	1581
676	3304	1576
677	3308	1571
678	3313	1566
679	3317	1561
680	3322	1556
681	3326	1550
682	3331	1546
683	3336	1541
684	3341	1536
685	3344	1530
686	3350	1526
687	3354	1521
688	3359	1516
689	3363	1510
690	3368	1506
691	3372	1501
692	3378	1496
693	3382	1491
694	3387	1486
695	3391	1481
696	3396	1476
697	3400	1471
698	3405	1466
699	3408	1460
700	3414	1456
701	3418	1450
702	3423	1446
703	3427	1441
704	3432	1436
705	3436	1431
706	3441	1426
707	3445	1421
708	3451	1416
709	3455	1411
710	3460	1406
711	3464	1401
712	3469	1396
713	3473	1391
714	3478	1386
715	3482	1381
716	3488	1376
717	3491	1371
718	3496	1366
719	3500	1361
720	3505	1356
721	3509	1351
722	3515	1346
723	3519	1341
724	3524	1336
725	3528	1331
726	3534	1327
727	3538	1321
728	3543	1317
729	3547	1312
730	3553	1307
731	3556	1302
732	3561	1297
733	3565	1292
734	3571	1287
735	3575	1282
736	3580	1277
737	3584	1272
738	3589	1267
739	3593	1262
740	3598	1257
741	3601	1252
742	3607	1247
743	3611	1242
744	3616	1237
745	3620	1232
746	3626	1228
747	3629	1222
748	3635	1218
749	3639	1213
750	3660	1213
751	3664	1208
752	3669	1203
753	3672	1198
754	3678	1193
755	3682	1188
756	3687	1183
757	3691	1178
758	3696	1173
759	3700	1168
760	3706	1164
761	3710	1159
762	3716	1154
763	3720	1149
764	3726	1144
765	3730	1139
766	3735	1134
767	3740	1129
768	3745	1125
769	3749	1119
770	3770	1119
771	3775	1114
772	3781	1110
773	3785	1105
774	3790	1100
775	3794	1095
776	3800	1090
777	3804	1085
778	3809	1080
779	3813	1075
780	3818	1070
781	3823	1065
782	3828	1061
783	3832	1055
784	3838	1051
785	3842	1046
786	3848	1041
787	3852	1036
788	3857	1031
789	3862	1026
790	3867	1021
791	3871	1016
792	3876	1012
793	3881	1006
794	3886	1002
795	3889	996
796	3895	992
797	3898	986
798	3904	982
799	3908	977
800	3914	972
801	3917	967
802	3922	962
803	3926	957
804	3932	952
805	3935	947
806	3941	942
807	3946	937
808	3952	933
809	3955	927
810	3961	923
811	3965	918
812	3971	913
813	3975	908
814	3981	903
815	3985	898
816	3990	893
817	3994	888
818	4000	884
819	4003	878
820	4009	874
821	4013	869
822	4018	864
823	4022	859
824	4028	854
825	4033	849
826	4039	844
827	4042	839
828	4047	834
829	4051	829
830	4056	824
831	4060	819
832	4065	815
833	4069	809
834	4074	805
835	4077	799
836	4082	795
837	4086	790
838	4091	785
839	4095	780
840	4100	775
841	4104	770
842	4110	765
843	4114	760
844	4119	755
845	4123	750
846	4128	745
847	4132	740
848	4138	735
849	4141	730
850	4147	726
851	4150	721
852	4156	716
853	4160	711
854	4165	706
855	4170	701
856	4175	696
857	4179	691
858	4184	686
859	4188	681
860	4193	676
861	4198	672
862	4203	667
863	4208	662
864	4213	657
865	4217	652
866	4222	647
867	4226	642
868	4233	638
869	4238	633
870	4244	628
871	4248	623
872	4254	618
873	4258	613
874	4264	609
875	4267	604
876	4273	599
877	4277	594
878	4282	589
879	4287	584
880	4293	579
881	4297	574
882	4302	570
883	4306	565
884	4312	560
885	4315	555
886	4321	550
887	4324	545
888	4329	540
889	4333	535
890	4338	530
891	4343	525
892	4348	521
893	4351	515
894	4357	511
895	4361	506
896	4367	501
897	4371	496
898	4376	491
899	4380	486
900	4385	481
901	4388	476
902	4394	472
903	4398	467
904	4403	462
905	4406	457
906	4412	452
907	4416	447
908	4421	442
909	4425	437
910	4431	432
911	4435	428
912	4441	423
913	4445	418
914	4450	413
915	4454	408
916	4459	403
917	4463	398
918	4468	393
919	4472	388
920	4478	384
921	4482	379
922	4487	374
923	4491	369
924	4497	364
925	4500	359
926	4505	354
927	4509	349
928	4514	345
929	4519	340
930	4524	335
931	4527	330
932	4532	325
933	4536	320
934	4540	315
935	4545	310
936	4550	305
937	4554	301
938	4560	296
939	4565	291
940	4570	286
941	4574	281
942	4580	276
943	4584	271
944	4589	267
945	4593	262
946	4598	257
947	4602	252
948	4608	247
949	4612	242
950	4616	237
951	4621	233
952	4626	228
953	4630	223
954	4635	218
955	4640	213
956	4645	208
957	4648	203
958	4654	198
959	4658	194
960	4663	189
961	4667	184
962	4672	179
963	4676	174
964	4682	169
965	4685	164
966	4691	160
967	4695	155
968	4700	150
969	4704	145
970	4710	140
971	4713	135
972	4719	130
973	4723	126
974	4728	121
975	4732	116
976	4738	111
977	4742	106
978	4747	101
979	4752	96
980	4757	92
981	4762	87
982	4767	82
983	4771	77
984	4777	72
985	4780	67
986	4786	63
987	4789	58
988	4795	53
989	4798	48
990	4804	43
991	4808	38
992	4813	33
993	4817	29
994	4823	24
995	4827	19
996	4833	14
997	4837	9
998	4843	4
999	4847	0
