iter	Logloss
0	0.6609064169
1	0.6318323427
2	0.6045172375
3	0.5777784394
4	0.5556916974
5	0.5333662833
6	0.5099016742
7	0.4887637998
8	0.4696402809
9	0.4521907054
10	0.436414066
11	0.4204944567
12	0.4061206252
13	0.3926178047
14	0.3804275451
15	0.3694329587
16	0.358504639
17	0.3489464878
18	0.3401248936
19	0.3311297561
20	0.3220941661
21	0.3142534544
22	0.3059610456
23	0.2987944525
24	0.2933865578
25	0.2875619926
26	0.2804524148
27	0.2761165226
28	0.2701559215
29	0.2649219156
30	0.2600421157
31	0.2552920312
32	0.2516583549
33	0.2478649447
34	0.2450044897
35	0.2410520467
36	0.2377952869
37	0.2351696616
38	0.2323745686
39	0.2291819046
40	0.2257728008
41	0.2228670115
42	0.2199701318
43	0.2173002377
44	0.2150283884
45	0.2126054059
46	0.2100492542
47	0.2082105374
48	0.2068094553
49	0.2054286987
50	0.2028920806
51	0.2009564315
52	0.1989842368
53	0.1968472409
54	0.1953816007
55	0.1943331783
56	0.1930794449
57	0.1916331258
58	0.1904094781
59	0.1888913808
60	0.1872152401
61	0.1861908538
62	0.1851218502
63	0.1841870333
64	0.1829590264
65	0.1817699437
66	0.1807205191
67	0.1804403478
68	0.1793450962
69	0.178063409
70	0.1772819741
71	0.1766943463
72	0.1757550931
73	0.1749108488
74	0.1738741446
75	0.1731101822
76	0.1724298136
77	0.1714242846
78	0.1704710585
79	0.1699306303
80	0.1695493556
81	0.1689765578
82	0.1684469905
83	0.1674802197
84	0.1669813763
85	0.1665764095
86	0.1655670243
87	0.1649667969
88	0.164804725
89	0.1640698546
90	0.1634945521
91	0.1632730687
92	0.1625086093
93	0.1622276615
94	0.1620028873
95	0.1616874009
96	0.1613526062
97	0.1607524335
98	0.1599918173
99	0.1598222079
100	0.1589494602
101	0.1586270972
102	0.1578145782
103	0.1575270252
104	0.1567674882
105	0.1564067689
106	0.1559904586
107	0.1557505259
108	0.1549849217
109	0.1542282179
110	0.1538679556
111	0.1532077958
112	0.1527782433
113	0.1524865936
114	0.1521539789
115	0.1517587192
116	0.1513641565
117	0.1513596778
118	0.1510038535
119	0.1506344017
120	0.1503349767
121	0.1497581743
122	0.1493970471
123	0.1486968366
124	0.1486948964
125	0.1483255884
126	0.1481671739
127	0.1479427529
128	0.1470563562
129	0.1469028102
130	0.1461564089
131	0.1458650034
132	0.1456532526
133	0.1452825378
134	0.1448749794
135	0.144442735
136	0.1441694354
137	0.1440753223
138	0.1436255161
139	0.1432023125
140	0.1426596748
141	0.1421365787
142	0.1415869737
143	0.1413009239
144	0.141109781
145	0.1410123473
146	0.1402615543
147	0.1399805735
148	0.1396266205
149	0.1396265369
150	0.139558126
151	0.1392872286
152	0.1390018672
153	0.1386538211
154	0.1384639782
155	0.1378892568
156	0.1373607345
157	0.137110776
158	0.1367564448
159	0.1364577034
160	0.1361285524
161	0.1358989785
162	0.1352693628
163	0.1350944753
164	0.1348016943
165	0.1344824449
166	0.1342531476
167	0.1340152877
168	0.1338772209
169	0.1335404164
170	0.1334118241
171	0.1329826371
172	0.1326216271
173	0.132453907
174	0.1321861833
175	0.1318790004
176	0.1313864823
177	0.1313393979
178	0.1309618243
179	0.1308135076
180	0.1306828027
181	0.1305463598
182	0.1302705407
183	0.1297488408
184	0.129469315
185	0.1292601644
186	0.1287948394
187	0.1286289444
188	0.1282507598
189	0.1280105341
190	0.127787002
191	0.1276861135
192	0.1271419367
193	0.1267676308
194	0.1264001421
195	0.1263082469
196	0.126239041
197	0.1259969732
198	0.1254305398
199	0.1248274938
200	0.124637374
201	0.1241640538
202	0.1235015938
203	0.1231412144
204	0.122760761
205	0.1225278924
206	0.1223220541
207	0.1220717473
208	0.1216895816
209	0.1215761752
210	0.1215497168
211	0.1211577118
212	0.120939527
213	0.1206535707
214	0.1204824257
215	0.1202442178
216	0.1196486664
217	0.1194924697
218	0.1193647789
219	0.1192163112
220	0.1189524181
221	0.1185363149
222	0.1182769998
223	0.1181327881
224	0.117784828
225	0.1174992111
226	0.1174969375
227	0.1174156325
228	0.1172836865
229	0.1170527342
230	0.116641676
231	0.1161479753
232	0.1157681293
233	0.1156645474
234	0.1153418517
235	0.1151800534
236	0.1145448123
237	0.1143698697
238	0.114076246
239	0.1138581161
240	0.1136109329
241	0.1135090618
242	0.1133011095
243	0.113282257
244	0.1131484664
245	0.1130216902
246	0.1129388384
247	0.1126559393
248	0.1124703899
249	0.1123422844
250	0.1121975717
251	0.1121065101
252	0.1116985548
253	0.1114939081
254	0.1111745714
255	0.1108409294
256	0.1107083542
257	0.1105189507
258	0.1103955816
259	0.1103456282
260	0.1102661636
261	0.109669137
262	0.1094828506
263	0.1092275872
264	0.1089760682
265	0.1088064264
266	0.1084701266
267	0.1083478854
268	0.1080857208
269	0.1077610198
270	0.1076556858
271	0.1074977384
272	0.1072810298
273	0.1068697607
274	0.1066774201
275	0.1065656283
276	0.106238405
277	0.1059473829
278	0.1056874705
279	0.1054583029
280	0.1051877989
281	0.1050321465
282	0.1044961277
283	0.1041555244
284	0.104005361
285	0.1039661963
286	0.1035614809
287	0.10355332
288	0.103256237
289	0.1031712472
290	0.1027373187
